taskName,database,query,start,end,time,threads,status,cleanCache,mixed,orientdbCpu,orientdbPod,minioPod
task1709038319182,testSF100,Q7,1709038319222,1709038366848,47626,107,failed,false,true,16,3,3
task1709038319182,testSF100,Q7,1709038319222,1709038366848,47626,107,failed,false,true,16,3,3
task1709038319182,test,Q6,1709038319224,1709038320585,1361,107,success,false,true,16,3,3
task1709038319182,test,Q1,1709038319216,1709038321324,2108,107,success,false,true,16,3,3
task1709038319182,test,Q1,1709038319222,1709038319493,271,107,success,false,true,16,3,3
task1709038319182,testSF30,Q6,1709038319220,1709038324314,5094,107,success,false,true,16,3,3
task1709038319182,testSF30,Q5,1709038319211,1709038321533,2322,107,success,false,true,16,3,3
task1709038319182,testSF100,Q7,1709038319220,1709038372236,53016,107,failed,false,true,16,3,3
task1709038319182,testSF100,Q5,1709038319223,1709038327694,8471,107,success,false,true,16,3,3
task1709038319182,test,Q3,1709038319220,1709038329903,10683,107,success,false,true,16,3,3
task1709038319182,test,Q9,1709038319210,1709038328368,9158,107,success,false,true,16,3,3
task1709038319182,test,Q2,1709038319211,1709038329916,10705,107,success,false,true,16,3,3
task1709038319182,test,Q8,1709038319224,1709038329337,10113,107,success,false,true,16,3,3
task1709038319182,test,Q2,1709038319220,1709038329949,10729,107,success,false,true,16,3,3
task1709038319182,testSF30,Q1,1709038319212,1709038332648,13436,107,success,false,true,16,3,3
task1709038319182,testSF10,Q1,1709038319209,1709038335674,16465,107,success,false,true,16,3,3
task1709038319182,testSF100,Q6,1709038319216,1709038328682,9466,107,success,false,true,16,3,3
task1709038319182,testSF10,Q1,1709038319225,1709038337836,18611,107,success,false,true,16,3,3
task1709038319182,test,Q4,1709038319217,1709038335795,16578,107,success,false,true,16,3,3
task1709038319182,test,Q7,1709038319213,1709038388521,69308,107,failed,false,true,16,3,3
task1709038319182,test,Q7,1709038319212,1709038388645,69433,107,failed,false,true,16,3,3
task1709038319182,test,Q2,1709038319220,1709038335963,16743,107,success,false,true,16,3,3
task1709038319182,test,Q10,1709038319210,1709038344257,25047,107,success,false,true,16,3,3
task1709038319182,testSF10,Q7,1709038319217,1709038391758,72541,107,failed,false,true,16,3,3
task1709038319182,testSF10,Q7,1709038319222,1709038391805,72583,107,failed,false,true,16,3,3
task1709038319182,test,Q8,1709038319210,1709038339894,20684,107,success,false,true,16,3,3
task1709038319182,test,Q2,1709038319211,1709038346953,27742,107,success,false,true,16,3,3
task1709038319182,testSF30,Q1,1709038319222,1709038351174,31952,107,success,false,true,16,3,3
task1709038319182,testSF10,Q5,1709038319211,1709038348491,29280,107,success,false,true,16,3,3
task1709038319182,testSF30,Q7,1709038319224,1709038403580,84356,107,failed,false,true,16,3,3
task1709038319182,testSF30,Q1,1709038319216,1709038369912,50696,107,success,false,true,16,3,3
task1709038319182,testSF30,Q5,1709038319211,1709038371425,52214,107,success,false,true,16,3,3
task1709038319182,testSF10,Q6,1709038319209,1709038374527,55318,107,success,false,true,16,3,3
task1709038319182,testSF10,Q5,1709038319222,1709038370976,51754,107,success,false,true,16,3,3
task1709038319182,testSF100,Q5,1709038319211,1709038392570,73359,107,success,false,true,16,3,3
task1709038319182,testSF10,Q6,1709038319219,1709038396392,77173,107,success,false,true,16,3,3
task1709038319182,test,Q6,1709038319213,1709038401709,82496,107,success,false,true,16,3,3
task1709038319182,testSF30,Q5,1709038319220,1709038408610,89390,107,success,false,true,16,3,3
task1709038319182,test,Q6,1709038319220,1709038421372,102152,107,success,false,true,16,3,3
task1709038319182,testSF10,Q5,1709038319211,1709038474594,155383,107,success,false,true,16,3,3
task1709038319182,testSF100,Q5,1709038319211,1709038476383,157172,107,success,false,true,16,3,3
task1709038319182,testSF10,Q1,1709038319224,1709038483896,164672,107,success,false,true,16,3,3
task1709038319182,testSF10,Q1,1709038319220,1709038485526,166306,107,success,false,true,16,3,3
task1709038319182,test,Q4,1709038319224,1709038489023,169799,107,success,false,true,16,3,3
task1709038319182,test,Q3,1709038319216,1709038512993,193777,107,success,false,true,16,3,3
task1709038319182,test,Q2,1709038319220,1709038542723,223503,107,success,false,true,16,3,3
task1709038319182,test,Q2,1709038319222,1709038542447,223225,107,success,false,true,16,3,3
task1709038319182,test,Q7,1709038319213,1709038619373,300160,107,success,false,true,16,3,3
task1709038319182,test,Q3,1709038319217,1709038619771,300554,107,success,false,true,16,3,3
task1709038319182,testSF10,Q6,1709038319210,1709038627602,308392,107,success,false,true,16,3,3
task1709038319182,testSF100,Q6,1709038319210,1709038642042,322832,107,success,false,true,16,3,3
task1709038319182,testSF10,Q7,1709038319219,1709038701141,381922,107,success,false,true,16,3,3
task1709038319182,testSF10,Q3,1709038319211,1709038701437,382226,107,success,false,true,16,3,3
task1709038319182,testSF100,Q1,1709038319220,1709038740496,421276,107,success,false,true,16,3,3
task1709038319182,testSF100,Q1,1709038319222,1709038739669,420447,107,success,false,true,16,3,3
task1709038319182,testSF10,Q1,1709038319222,1709038747075,427853,107,success,false,true,16,3,3
task1709038319182,testSF100,Q1,1709038319216,1709038790899,471683,107,success,false,true,16,3,3
task1709038319182,testSF100,Q1,1709038319210,1709038789858,470648,107,success,false,true,16,3,3
task1709038319182,testSF100,Q1,1709038319220,1709038791433,472213,107,success,false,true,16,3,3
task1709038319182,testSF100,Q1,1709038319224,1709038793218,473994,107,success,false,true,16,3,3
task1709038319182,test,Q10,1709038319209,1709038840486,521277,107,success,false,true,16,3,3
task1709038319182,test,Q10,1709038319222,1709038840019,520797,107,success,false,true,16,3,3
task1709038319182,testSF10,Q2,1709038319211,1709038860121,540910,107,success,false,true,16,3,3
task1709038319182,testSF10,Q8,1709038319209,1709038996142,676933,107,success,false,true,16,3,3
