taskName,database,query,start,end,time,threads,status,cleanCache,mixed,orientdbCpu,orientdbPod,minioPod
task1693905377830,test,Q6,1693905381778,1693905384654,2876,1,success,false,true,4,1,1
task1693905536449,testSF10,Q5,1693905540814,1693905543252,2438,5,success,false,true,4,1,1
task1693905536449,test,Q5,1693905540814,1693905543278,2464,5,success,false,true,4,1,1
task1693905536449,testSF10,Q8,1693905540814,1693905562178,21364,5,success,false,true,4,1,1
task1693905536449,testSF10,Q2,1693905540814,1693905599422,58608,5,success,false,true,4,1,1
task1693905536449,testSF10,Q10,1693905540814,1693905640857,100043,5,success,false,true,4,1,1
task1693907775667,testSF10,Q5,1693907779654,1693907779846,192,10,success,false,true,4,1,1
task1693907775667,testSF30,Q1,1693907779654,1693907779296,358,10,success,false,true,4,1,1
task1693907775667,test,Q1,1693907779654,1693907780012,3415,10,success,false,true,4,1,1
task1693907775667,testSF30,Q6,1693907779654,1693907783169,3515,10,success,false,true,4,1,1
task1693907775667,testSF10,Q4,1693907779654,1693907801164,21510,10,success,false,true,4,1,1
task1693907775667,testSF10,Q8,1693907779654,1693907808993,29339,10,success,false,true,4,1,1
task1693907775667,testSF10,Q8,1693907779654,1693907808979,29325,10,success,false,true,4,1,1
task1693907775667,test,Q10,1693907779654,1693907809406,29752,10,success,false,true,4,1,1
task1693907775667,testSF30,Q4,1693907779654,1693907829804,50150,10,success,false,true,4,1,1
task1693907775667,testSF30,Q4,1693907779654,1693907830019,50365,10,success,false,true,4,1,1
task1693908121772,testSF30,Q5,1693908125433,1693908125632,199,26,success,false,true,4,1,1
task1693908121772,testSF30,Q5,1693908125433,1693908125590,157,26,success,false,true,4,1,1
task1693908121772,testSF30,Q6,1693908125433,1693908126312,879,26,success,false,true,4,1,1
task1693908121772,testSF10,Q1,1693908125433,1693908126395,962,26,success,false,true,4,1,1
task1693908121772,test,Q5,1693908125433,1693908125779,346,26,success,false,true,4,1,1
task1693908121772,test,Q1,1693908125433,1693908125624,191,26,success,false,true,4,1,1
task1693908121772,test,Q1,1693908125433,1693908126126,693,26,success,false,true,4,1,1
task1693908121772,testSF30,Q6,1693908125433,1693908126225,792,26,success,false,true,4,1,1
task1693908121772,testSF10,Q1,1693908125433,1693908126135,702,26,success,false,true,4,1,1
task1693908121772,test,Q2,1693908125433,1693908131898,6465,26,success,false,true,4,1,1
task1693908121772,test,Q9,1693908125433,1693908135328,9895,26,success,false,true,4,1,1
task1693908121772,test,Q2,1693908125433,1693908133128,7695,26,success,false,true,4,1,1
task1693908121772,test,Q8,1693908125433,1693908136742,11309,26,success,false,true,4,1,1
task1693908121772,test,Q9,1693908125433,1693908137337,11904,26,success,false,true,4,1,1
task1693908121772,test,Q4,1693908125433,1693908144467,19034,26,success,false,true,4,1,1
task1693908121772,testSF10,Q3,1693908125433,1693908159587,34154,26,success,false,true,4,1,1
task1693908121772,testSF10,Q4,1693908125433,1693908169931,44498,26,success,false,true,4,1,1
task1693908121772,test,Q10,1693908125433,1693908170764,45331,26,success,false,true,4,1,1
task1693908121772,testSF10,Q3,1693908125433,1693908179486,54053,26,success,false,true,4,1,1
task1693908121772,testSF30,Q4,1693908125433,1693908211179,85746,26,success,false,true,4,1,1
task1693908121772,testSF30,Q8,1693908125433,1693908234168,108735,26,success,false,true,4,1,1
task1693908121772,testSF30,Q9,1693908125433,1693908236850,111417,26,success,false,true,4,1,1
task1693908121772,testSF10,Q2,1693908125433,1693908249660,124227,26,success,false,true,4,1,1
task1693908121772,testSF30,Q3,1693908125433,1693908259104,133671,26,success,false,true,4,1,1
task1693908121772,testSF30,Q10,1693908125433,1693908465145,339712,26,success,false,true,4,1,1
task1693908121772,testSF10,Q2,1693908125433,1693910263687,2138254,26,failed,false,true,4,1,1
task1693910331122,testSF10,Q6,1693910335250,1693910335507,257,3,success,false,true,4,1,1
task1693910331122,testSF10,Q4,1693910335250,1693910349031,13781,3,success,false,true,4,1,1
task1693910331122,testSF10,Q10,1693910335250,1693910431939,96689,3,success,false,true,4,1,1
task1693910655682,testSF30,Q5,1693910659652,1693910659842,190,16,success,false,true,4,1,1
task1693910655682,test,Q6,1693910659652,1693910659783,131,16,success,false,true,4,1,1
task1693910655682,testSF10,Q5,1693910659653,1693910659750,97,16,success,false,true,4,1,1
task1693910655682,test,Q5,1693910659653,1693910659755,102,16,success,false,true,4,1,1
task1693910655682,testSF30,Q5,1693910659653,1693910659848,195,16,success,false,true,4,1,1
task1693910655682,testSF30,Q1,1693910659651,1693910661321,1670,16,success,false,true,4,1,1
task1693910655682,test,Q2,1693910659653,1693910664847,5194,16,success,false,true,4,1,1
task1693910655682,test,Q10,1693910659652,1693910706301,46649,16,success,false,true,4,1,1
task1693910655682,test,Q10,1693910659652,1693910707874,48222,16,success,false,true,4,1,1
task1693910655682,test,Q10,1693910659652,1693910708197,48545,16,success,false,true,4,1,1
task1693910655682,test,Q10,1693910659651,1693910708341,48690,16,success,false,true,4,1,1
task1693910655682,testSF10,Q8,1693910659652,1693910712519,52867,16,success,false,true,4,1,1
task1693910655682,testSF10,Q9,1693910659652,1693910713211,53559,16,success,false,true,4,1,1
task1693910655682,testSF10,Q9,1693910659651,1693910713423,53772,16,success,false,true,4,1,1
task1693910655682,testSF30,Q8,1693910659651,1693910743062,83411,16,success,false,true,4,1,1
task1693910655682,testSF30,Q3,1693910659653,1693910760282,100629,16,success,false,true,4,1,1
task1693914855607,test,Q5,1693914857421,1693914857512,91,12,success,false,true,4,1,1
task1693914855607,test,Q6,1693914857420,1693914857539,119,12,success,false,true,4,1,1
task1693914855607,testSF10,Q6,1693914857421,1693914858086,665,12,success,false,true,4,1,1
task1693914855607,testSF10,Q6,1693914857421,1693914859323,1902,12,success,false,true,4,1,1
task1693914855607,test,Q4,1693914857421,1693914869408,11987,12,success,false,true,4,1,1
task1693914855607,test,Q10,1693914857421,1693914891263,33842,12,success,false,true,4,1,1
task1693914855607,test,Q10,1693914857421,1693914891109,33688,12,success,false,true,4,1,1
task1693914855607,testSF30,Q2,1693914857421,1693914926928,69507,12,success,false,true,4,1,1
task1693914855607,testSF30,Q8,1693914857421,1693914933764,76343,12,success,false,true,4,1,1
task1693914855607,testSF30,Q3,1693914857421,1693914957252,99831,12,success,false,true,4,1,1
task1693914855607,testSF10,Q10,1693914857421,1693914994904,137483,12,success,false,true,4,1,1
task1693914855607,testSF10,Q10,1693914857421,1693914995134,137713,12,success,false,true,4,1,1
task1693919055611,test,Q6,1693919057388,1693919057482,94,29,success,false,true,4,1,1
task1693919055611,testSF30,Q1,1693919057387,1693919057575,188,29,success,false,true,4,1,1
task1693919055611,testSF30,Q6,1693919057402,1693919058303,901,29,success,false,true,4,1,1
task1693919055611,testSF10,Q5,1693919057391,1693919057815,424,29,success,false,true,4,1,1
task1693919055611,testSF30,Q1,1693919057402,1693919058678,1276,29,success,false,true,4,1,1
task1693919055611,testSF30,Q1,1693919057391,1693919058555,1164,29,success,false,true,4,1,1
task1693919055611,testSF10,Q5,1693919057388,1693919057492,104,29,success,false,true,4,1,1
task1693919055611,testSF30,Q1,1693919057387,1693919059181,1794,29,success,false,true,4,1,1
task1693919055611,testSF30,Q1,1693919057389,1693919059970,2581,29,success,false,true,4,1,1
task1693919055611,test,Q3,1693919057388,1693919063314,5926,29,success,false,true,4,1,1
task1693919055611,test,Q3,1693919057402,1693919063582,6180,29,success,false,true,4,1,1
